Výsledky

Výpočtový krok 2

-----------------------------------------------------------------------------
Job: ATENA, Openning output file: 14.2.2013 15:38:16
-----------------------------------------------------------------------------
Output data for request: STRESS
Description: Stress
  Step: 2  Iteration: 2 at Time: 2
-----------------------------------------------------------------------------------------------
 Node   sigma_xx   sigma_yy     tau_xy
Units        MPa        MPa        MPa
  540 -0.4205438  0.0000232  0.0214545
  541 -0.4660776  0.0000145  0.0149833
  542 -0.4730588  1.49e-006  0.0149868
  543 -0.4269086  8.88e-006  0.0214641
  544 -0.3810742  0.0000114  0.0272267
  545 -0.3754427  0.0000367  0.0272242
  546 -0.5118960  0.0000225  0.0077871
  547 -0.5195402  0.0000105  0.0077861
  548 -0.5430366 -0.0020492  0.0038881
  549 -0.5511430 -0.0020810  0.0038889
  550 -0.5271784  0.0000232  0.0077874
  551 -0.4799917  0.0000149  0.0149838
  552 -0.5592490 -0.0021104  0.0038882
  553 -0.5673557 -0.0021423  0.0038891
  554 -0.5348229  0.0000108  0.0077864
  555 -0.4869737  1.58e-006  0.0149873
  556 -0.4330982  0.0000239  0.0214550
  557 -0.4394655  9.21e-006  0.0214646
  558 -0.3922824  0.0000116  0.0272273
  559 -0.3866502  0.0000380  0.0272246
  560 -0.4456525  0.0000249  0.0214555
  561 -0.4939060  0.0000155  0.0149842
  562 -0.5008888  1.78e-006  0.0149876
  563 -0.4520224  9.85e-006  0.0214649
  564 -0.4034907  0.0000128  0.0272274
  565 -0.3978577  0.0000395  0.0272252
  566 -0.5424612  0.0000239  0.0077877
  567 -0.5501060  0.0000112  0.0077866
  568 -0.5754620 -0.0021716  0.0038884
  569 -0.5835691 -0.0022035  0.0038892
  570 -0.5577444  0.0000246  0.0077878
  571 -0.5078203  0.0000161  0.0149843
  572 -0.5916756 -0.0022328  0.0038885
  573 -0.5997828 -0.0022648  0.0038892
  574 -0.5653893  0.0000116  0.0077866
  575 -0.5148037  2.12e-006  0.0149875
  576 -0.4582067  0.0000260  0.0214554
  577 -0.4645789  0.0000107  0.0214645
